Sl.No,Material,DESCRIPTION,MRP(Rs),REMARKS
1853,550230/A,CLUTCH PLATE FORMED,58.00,
1854,550232/B,GASKET  -INSPECTION COVER GR BOX,44.00,
1855,550233/B,GASKET  -END COVER,157.00,
1856,550234/B,GASKET - MAINSHAFT BORE 5S,53.00,
1857,550239/A,PIVOT PIN-ROCKER SHAFT,19.00,
1858,550242/A,"GASKET, CRANK CASE JOINT",94.00,
1859,550243/A,"GASKET, CHAIN CASE DEFLECTOR",15.00,
1860,550244/A,"GASKET, GEAR BOX CASE",33.00,
1861,550245/B,GASKET - INSPECTION COVER,10.00,
1862,550251/A,KICK STARTER SHAFT,1000.00,
1863,550252/A,KICK STARTER CRANK ASSY,505.00,
1864,550256/A, O-RING,4.00,
1865,550502/B,CLUTCH ASSY COMPLETE (16 SPLINES) 5SP,3301.00,
1866,550503/A,CLUTCH CENTER ASSY -16 SP,749.00,
1867,550504/B,CLUTCH ASSY. 5 SP. 5 PLATE,3339.00,
1868,550507/A,GEAR LEVER RUBBER - EPDM,19.00,
1869,550512/A,"ASSY, CLUTCH OPERATING",239.00,
1870,550518/A,CLUTCH CABLE - THUNDERBIRD,182.00,
1871,550519/A, CLUTCH CABLE,180.00,
1872,550520/A,CLUTCH CABLE- ELECTRA & MACHISMO,139.00,
1873,550521/C,MAIN SHAFT 5 SPEED,1342.00,
1874,550522/A,CLUTCH ROD,41.00,
1875,550523/B,"PIN,THRUST",23.00,
1876,550524,NUT-MAINSHAFT-5SP,16.00,
1877,550661/A,OIL SEAL GEAR CHANGE SHAFT IMPORT,23.00,
1878,560009/B,SPINDLE,71.00,
1879,560010/B,CLUTCH GEAR CIRCLIP.,44.00,
1880,560011/A,SPRAG CLUTCH,2200.00,
1881,560013,STARTER MOTOR,11383.00,
1882,560014/B,IDLER GEAR,771.00,
1883,560015/A,BUSH,76.00,
1884,560016/A,NEEDLE BRG-CLUTCH GEAR.,670.00,
1885,560017/E,CLUTCH DRIVEN GEAR,1305.00,
1886,560019,SCREW,31.00,
1887,560023,SCREW,51.00,
1888,560025,ROCKER OIL PIPE (624 CC),384.00,
1889,560027/A,STUD M8*55,17.00,
1890,560031/A,BATTERY CARRIER ASSY (BLACK P/C),617.00,
1891,560034/D,"HARNESS, MAIN CABLE 500CC E-START",825.00,
1892,560035/E,CABLE  E.START 4 SG,290.00,
1893,560041/F,CRANKCASE SET ASSY 5 SPEED 500cc,11841.00,
1894,560045/A,ALTERNATOR ASSY.(624,2151.00,
1895,560058/B,STRAP - BATTERY,53.00,
1896,560062/A,BATTERY CARRIER CVR NI-CR,827.00,
1897,560066/A,HORN (624CC),193.00,
1898,560069/B, CABLE,69.00,
1899,560070,CABLE,42.00,
1900,560114,SWITCH MODULE LH,698.00,
1901,560115,SWITCH MODULE RH E-START,435.00,
1902,560116/A,FERRULE ESTART,11.00,
1903,560125/A,DECOMPRESSOR CABLE LIGHTNING ES,52.00,
1904,560130/A,FUSE CARRIER ASSY,53.00,
1905,560131/C,DECOMPRESSOR CABLE CLASSIC ES,40.00,
1906,560132/C,RELAY STARTER ELECTRA,471.00,
1907,560140,RR UNIT W/16A SCR & SNUBBER (535/624),979.00,
1908,560147," LEVER ASSY, LH (E-STRT)",587.00,
1909,560156/B,BREATHER PIPE LONG,72.00,
1910,560159/A,PVC BEADING,4.00,
1911,560163/A,"LEVER ASSY, RH (E-START)",553.00,
1912,560164/A,BANJO UNION BOLT (M8 X 1)-ZN PLATED,35.00,
1913,560169,STICKER T.BOX EXP 500 ES LH,25.00,
1914,560170,STICKER T.BOX EXP 500 ES RH,26.00,
1915,560193/A,ADDON LEAD,37.00,
1916,560195/A,SWITCH MODULE RH (SINGLE HOLE),403.00,
1917,560212/A,BATTERY CARRIER ASSY (BLACK P/C),636.00,
1918,560214/B,D/C CABLE BULLET ELECTRA,42.00,
1919,560502/E,SPOKES LONG,10.00,
1920,560503/1,FORK END LH (BUFFED) - DISC BRAKE,2393.00,
1921,560506,HEX. HEAD CAP SCREW M8*25,23.00,
1922,560508/1,FORK END RH (BUFFED) - DISC BRAKE,2393.00,
1923,560510,DISC BRAKE SYSTEM - T1,8318.00,
1924,560512,CALIPER ASSY,2308.00,
1925,560513,MASTER CYLINDER WITH RH LEVER ASSY.,2159.00,
1926,560514/A,BRAKE HOSE ASSY. 624CC CLASSIC,1084.00,
1927,560516/A,"CLAMP, HOSE-DISC BRAKE",9.00,
1928,560519/E,SPOKES SHORT,7.00,
1929,560520/E,SPINDLE,244.00,
1930,560521/B,SPACER ASSY,77.00,
1931,560524/B,SPEEDO DRIVE ASSY DISC BRAKE,175.00,
1932,560526,  FRONT WHEEL ASSY (DI,6161.00,
1933,560527/D,FORK END ASSY RH DISC BRAKE-ELECTRA,3306.00,
1934,560528/D,FORK END ASSY LH DISC BRAKE - ELECTRA,3306.00,
1935,560530/D,SOCKET BUTTON HEAD CAPSCREW,16.00,
1936,560534,BANJO BOLT - HOSE ASSY.,38.00,
1937,560535/A,BANJO WASHER - DISC BRAKE,10.00,
1938,560538/A,HANDLE BAR HIGH LIFT ES PLATED,680.00,
1939,560539/C,HANDLE BAR THUNDER BIRD,510.00,
1940,560540,BRAKE HOSE ASSY.,1241.00,
1941,560541,HOSE ASSEMBLY WITH BANJO BOLTS,1025.00,
1942,560542,MASTER CYLINDER ASSY.-ELECTRA,1624.00,
1943,560543,"LEVER ASSY, LH THUNDERBIRD DB",563.00,
1944,560544,MUDGUARD FRONT DISC BRAKE - PLATED,1508.00,
1945,560545/A,FLANGE BOLT M8*30,15.00,
1946,560546/A,FLANGED BOLT M8*25,15.00,
1947,560547,DISC BRAKE SYSTEM - ELECTRA,4221.00,
1948,560549/A,HEX NUT SPINDLE - RETROFIT,89.00,
1949,560550/A,BRACKET - RETROFIT,9.00,
1950,560553/A,SPACER - RETROFIT,14.00,
1951,560558,LEVER LH DISC BRAKE (560557),315.00,
1952,560559/A,SPACER,15.00,
1953,560564,HEX BOLT M6,23.00,
1954,560567,PISTON SUB ASSY.(MASTER CYL. ASSY.),252.00,
1955,560568,BANJO BOLT KIT(MASTER CYL. ASSY.),46.00,
1956,560569,SWITCH ASSY (INCL MASTER CYL. ASSY.),184.00,
1957,560570,SWITCH ASSY (ST.MASTER CYL. ASSY.),154.00,
1958,560571,CIRCLIP (MASTER CYL. ASSY.),9.00,
1959,560572,2OOT(MASTER CYL. ASSY.),37.00,
1960,560573,DIAPHRAGM (MASTER CYL. ASSY.),111.00,
1961,560574,CSK PH HEAD SCREW(MASTER CYL. ASSY.),6.00,
1962,560575, COVER(MASTER CYL. ASSY.),67.00,
1963,560577,CLAMP (ST.MASTER CYL. ASSY.),84.00,
1964,560579,NUT LEVER (MASTER CYL. ASSY.),6.00,
1965,560580,BOLT LEVER (MASTER CYL. ASSY.),28.00,
1966,560581,LEVER RH (MASTER CYL. ASSY.),137.00,
1967,560583,MNTG. BRKT ASSY. (CALIPER ASSY.),379.00,
1968,560584,PAD ASSY. (CALIPER ASSY.),359.00,
1969,560585,BODY CALIPER (CALIPER ASSY.),1060.00,
1970,560586, PISTON (CALIPER ASSY.),194.00,
1971,560587,SEAL PISTON (CALIPER ASSY.),69.00,
1972,560588,DUST SEAL (CALIPER ASSY.),10.00,
1973,560589,BOOT (CALIPER ASSY.),25.00,
1974,560590, BELLOW (CALIPER ASSY.),21.00,
1975,560591,BLEED SCREW (CALIPER ASSY.),18.00,
1976,560592, CAP (CALIPER ASSY.),16.00,
1977,560593,SPRING PAD(CALIPER ASSY.),19.00,
1978,560594,PIN BOLT (CALIPER ASSY.),25.00,
1979,560595,GRUB SCREW (CALIPER ASSY.),11.00,
1980,560597, WASHER (CALIPER ASSY.),9.00,
1981,560600/B,SPOKES LONG SS - BULLET X,27.00,
1982,560601/B,SPOKES SHORT SS - BULLET X,27.00,
1983,560608/A,"LEVER ASSY, LH (E-START)",638.00,
1984,560609,SCREW -LEVER,25.00,
1985,560610/A,DRIVE SHAFT,508.00,
1986,560611/D,CABLE POSITIVE,85.00,
1987,560613/D,CABLE ELECTRA 2005 (ES),137.00,
1988,560614/A,SPROCKET GEAR,1174.00,
1989,560615/B,GASKET  -CRANKCASE,166.00,
1990,560616/B,GASKET  -DRIVE COVER-BX,186.00,
1991,560618/B,ALTERNATOR ASSY,2546.00,
1992,560625/A,CABLE POSITIVE E 2005,104.00,
1993,560627/A,CRANK CASE ASSY 350cc TCI 4SP ES,22294.00,
1994,560628/A,CRANK CASE ASSY W/ F.W 5SP ES-TCI,17386.00,
1995,560632,DIR B/F,93.00,
1996,560633,"SCREW, CLUTCH SWITCH MOUNTING HANDLE BAR",6.00,
1997,560653/A,CRANK CASE ASSY 350CC TCI ES-5SP,17559.00,
1998,560661/A,CRANK CASE SET ASSY 350 TCI ES 4SPSKRSEA,18281.00,
1999,560679/A,SPINDLE,276.00,
2000,570005/C,"BEARING SPACER, CRANK  SHAFT LH",42.00,
2001,570006/E,"BEARING SPACER, CRANK CASE LH",17.00,
2002,570007/F,IDLER GEAR,429.00,
2003,570008/F,JACK SHAFT,100.00,
2004,570011,BALL BRG. MAINSHAFT 6006 C3,220.00,
2005,570012/C,RETAINER PLATE MAINSHAFT BEARING,7.00,
2006,570013,HEX SOCKET HD CAP SC,6.00,
2007,570016,"HEX.SOCKET HD.CAP SCREW,M5 X 45 KUN-80",12.00,
2008,570018/G,"GASKET, (CYLINDER BARREL TO CRANKCASES)_",105.00,
2009,570021,"HEX.SOCKET HD.CAP  SCREW,M6 X 80 KUN-80",18.00,
2010,570024,"HEX.SOCKET HD.CAP  SCREW,M6 X 50 KUN-80",17.00,
2011,570025,"HEX.SOCKET HD.CAP  SCREW,M6 X 90 KUN-80",38.00,
2012,570028,LOCATING PIN NR 3 * 21.8,3.00,
2013,570029/D,CHAIN TENSIONER PAD,72.00,
2014,570030,"HEX.SOCKET HD.CAP  SCREW,M6 X 20 KUN-80",7.00,
2015,570032,CIRCLIP 12 X 1N IS 3075 (PART1),4.00,
2016,570037,NEEDLE  BEARING. NRB 30X45X20,853.00,
2017,570039/D,CAM SPINDLE STD SIZE,208.00,
2018,570040/C,CAM SPINDLE  (0.1 OVER  SIZE),182.00,
2019,570041/C,CAM SPINDLE  (0.2  OVER  SIZE),182.00,
2020,570044/J,CAM STEADY PLATE,480.00,
2021,570047/E,AUTO CHAIN TENSIONER ASSY,295.00,
2022,570048/F,OIL PUMP ASSY,561.00,
2023,570051/B,HEX. SOCKET HD.CAP SCREW M4 X  30,3.00,
2024,570052,CIRCLIP (OIL PUMP),10.00,
2025,570054/G,SUCTION FILTER ASSY,53.00,
2026,570057/B,O RING-DRAIN CAP,16.00,
2027,570062/H,SHAFT LH,421.00,
2028,570063/F,"WASHER ,M12- THICK 5 MM",26.00,
2029,570064,HEX.SOC.HD.SCREW  M12*1.25*20 SS8.8,41.00,
2030,570070/M,ENGINE SPROCKET,1004.00,
2031,570072/C,SHAFT - DOUBLE GEAR,58.00,
2032,570073,NEEDLE BRG.SCE 228 SNL C3,135.00,
2033,570074/I,"DISTANCE WASHER ,SPRAG CLUCTCH",110.00,
2034,570075/H,SPRAG CLUTCH GEAR,830.00,
2035,570078/D,SUMP DRAIN CAP ASSY.,53.00,
2036,570086/D,STUD  226L,37.00,
2037,570087/D,"STUD,  133 LONG",28.00,
2038,570088/D,"STUD,  168 LONG",32.00,
2039,570089/D,"STUD,  196 LONG",37.00,
2040,570090/D,"STUD,  106   LONG",24.00,
2041,570091/D,"STUD,  80 LONG",20.00,
2042,570094,"HEX.SOCKET HD.CAP  SCREW,M5 X 25 KUN-80",8.00,
2043,570095/D,CHAIN TENSIONER STUD,18.00,
2044,570097/B,HYDRAULIC TAPPET,815.00,
2045,570099/C,CAM SLEEVEE,140.00,
2046,570100/B,NUT FOR CAM SPINDLE ADJUSTER,21.00,
2047,570102/D,PLUG,10.00,
2048,570105/F,PIVOT,39.00,
2049,570108/F,TORSION SPRING,5.00,
2050,570110/F,CAM LIFT PIN ASSEMBLE 3.8MM DIA,84.00,
2051,570123/C,CAP OIL FILTER GASKET,10.00,
2052,570125/B,NEEDLE ROLLER -NRB-TYPE-BP -DI,25.00,
2053,570126/E,"ROCKER COVER_INLET,RUBBER GASKET",58.00,
2054,570127/E,"ROCKER COVER_EXHAUST,RUBBER GASKET",63.00,
2055,570128/F,"WASHER,SEAL",31.00,
2056,570129/H,HEX.HEAD SCREW_ROC_COVER_MTG(SEAL_BOLT),52.00,
2057,570130,HEX.SOCKET HD.CAP  S,33.00,
2058,570131/A,"HEX.SOC.HD.SCR.M6*55_12.9 IS;2269,BLACK",11.00,
2059,570132/A,"HEX.SOCKET HD.CAP  SCREW, M6 X 25 _12.9",7.00,
2060,570155,SEALING WASHER  12X15.5 IS:3175 CU,8.00,
2061,570157,LAY SHAFT - UCE SUB ASSY,3263.00,
2062,570158/B,MAIN SHAFT - UCE SUB ASSY,3698.00,
2063,570159,COVER LH SUB ASSY UCE 350 CC,2828.00,
2064,570160, COVER RH SUB ASSY,4205.00,
2065,570163/D,VALVE INLET,161.00,
2066,570164/D,VALVE EXHAUST,347.00,
2067,570165/C,VALVE GUIDE,59.00,
2068,570166/C,"VALVE SEAT INSERT,INLET",123.00,
2069,570171/B,PISTON RING 1ST,406.00,
2070,570172/C,PISTON RING 2ND,159.00,
2071,570173/C,PISTON RING_OIL,290.00,
2072,570175/B,FLANGE HEX BOLT (BLACK PASSIVATION),25.00,
2073,570176/D,"INSPECTION SCREW , IGNITION TIMING",36.00,
2074,570181/B,"RESTRICTOR(LEE PLUG,CRANKCASE RH)1.8MM",9.00,
2075,570182/B,"RESTRICTOR(LEE PLUG,COVER RH)2.3MM",7.00,
2076,570183/D,"JET, CRANKSHAFT RH",7.00,
2077,570184/B,"SPACER_SHAFT, GEAR LEVER",6.00,
2078,570185/B,CONNECTING ROD ASSY.,1159.00,
2079,570186/D,CRANK PIN-UCE,409.00,
2080,570187/B,THRUST WASHER,213.00,
2081,570192/C,UCE CY HEAD GASKET 350CC,386.00,
2082,570193/B, CON ROD BEARING,436.00,
2083,570198/C,CSK SOCKET HEAD SCREW        M5 X 0.8 X,7.00,
2084,570201/F,THRUST WASHER,28.00,
2085,570202/E,LAY SHAFT 1ST GEAR-ASSY,569.00,
2086,570204/N,MAINSHAFT-1-GEAR,425.00,
2087,570205/P,MAINSHAFT,1239.00,
2088,570206/N,SLEEVE GEAR,1169.00,
2089,570207,NEEDLE BRG. INAHK 2012,81.00,
2090,570208/B,NEEDLE BRG RH BK 2016,100.00,
2091,570209,CIRCLIP 18 N IS:3075,6.00,
2092,570213,OIL SEAL AEROQUIP SU 580144C  55X42X7 DO,53.00,
2093,570214/F,DISTANCE PIECE,175.00,
2094,570216/E,CAMPLATE ASSY,613.00,
2095,570218/C,PIVOT CAM  PLATE,38.00,
2096,570219/F,"ASSY, GEAR LEVER SHAFT",357.00,
2097,570222/F,"ASSY, ROCKER SHAFT",219.00,
2098,570226/E,"STRIKER , GEAR CHANGE",31.00,
2099,570227/F,SPACER,31.00,
2100,570228/G,PIVOT BEARING UPPER,206.00,
2101,570229/D,STOP PIN,25.00,
2102,570230/F,GEAR CHANGE STRIKER SPRING,12.00,
2103,570231/H,"LOWER PIVOT BEARING, ROCKER SHAFT",136.00,
2104,570233/B,HEX. SOCKET HD CAP SCREW M5 X,5.00,
2105,570234,"O' RING BLACK NITRILE RUBBER BS-4518,014",16.00,
2106,570235/F,"DOWEL, LOWER PIVOT BEARING",19.00,
2107,570236/K,KICKSTARTER SHAFT,978.00,
2108,570239/C,OIL TROUGH,37.00,
2109,570240/B,HEX. SOCKET HD CAP SCREW M5 X,5.00,
2110,570241,OIL SEAL KICK STARTER  G20 X 27 X 5 DOUB,18.00,
2111,570242/D,"ASSY, KICK START CRANK",599.00,
2112,570244/C,GEAR LEVER,189.00,
2113,570246/E,"NUT, SLEEVE GEAR",100.00,
2114,570247/D,TAB WASHER,25.00,
2115,570248/E,ASSY. KICK STARTER GEAR,753.00,
2116,570249/H,COLLAR MAINSHAFT,240.00,
2117,570253/E,PIN-PIVOT,22.00,
2118,570254/C,FD SPROCKET 15 T,456.00,
2119,570255/B,NEUTRAL SWITCH,102.00,
2120,570257/B,SPRING,3.00,
2121,570259,CIRCLIP,6.00,
2122,570261/B,FLANGE CARBURETTOR,187.00,
2123,570262/E,ENGINE STEADY BRACKET TBTSCC,35.00,
2124,570263/B,SPACER,28.00,
2125,570272/A,PISTON ASSY,1836.00,KIT
2126,570273,PISTON RING SET - TBTS,768.00,KIT
2127,570274/D,"PLUG,OIL",6.00,
2128,570275/D,"JET,OIL",18.00,
2129,570276/D,MAGNETIC PLUG ASSY,54.00,
2130,570277,MAGNET,12.00,
2131,570279/B,PISTON - TBTS,885.00,
2132,570280/B," SHIM, CAM GEAR",6.00,
2133,570281/A,M4 *10 SS ALLEN SCREW,7.00,
2134,570282/M,CARBURATOR UCE 350 CC,3371.00,
2135,570286/C,BREATHAR PIPE,104.00,
2136,570288/B,TOOL KIT-TBTS,239.00,SPECIAL TOOLS
2137,570291/A,LOCK PIN_SPRING-CLUTCH OPERATING LEVER,15.00,
2138,570292/A,"O RING, OIL PUMP INLET",11.00,
2139,570293,"O-RING, OIL PUMP OUTLET",6.00,
2140,570294/A,"O RING, OIL PUMP",29.00,
2141,570295/A,O RING CHAIN TENSIONER ASSSY.,48.00,
2142,570298/A,DOWEL,7.00,
2143,570300/C," HEX SOCKET, BUTTON HEAD SCREW, M5 X 12",3.00,
2144,570302/A,"HEX. SOC. HD. CAP SCREW, M6X1X35, IS:226",10.00,
2145,570303/A,"HEX. SOC. HD. CAP SCREW, M6X60, IS:2269-",21.00,
2146,570304/B,"HEX.SOCKET HD.CAP  SCREW,M6 X 16  IS ;22",8.00,
2147,570309/D,CAM GEAR ASSY. - EX. W/DECOMPRESSOR ASSY,3076.00,
2148,570310/B,KICKSTARTER SHAFT SUB ASSY,1247.00,
2149,570402/J,CLUTCH OPERATING LEVER ASSY.,198.00,
2150,570406/D,STOP PIN,9.00,
2151,570407,"OIL SEAL, CLUTCH OPERATING LEVER-G12X18X",23.00,
2152,570409/F,CLUTCH CABLE,109.00,
2153,570410/F,"GASKET, LH  COVER",89.00,
2154,570414/B,PRIMARY CHAIN,319.00,
2155,570416/K,gasket,63.00,
2156,570421/A,"HEX.SOCKET HD.CAP  SCREW,       M6 X 30",7.00,
2157,570422,"HEX.SOCKET HD.CAPSCREW,M6 X 100 KUN-80",54.00,
2158,570423/A,ALLEN SCREW M6X40,12.00,
2159,570424/D," COVER PLATE, BREATHE",79.00,
2160,570425/B,"HEX.SOCKET HD.CAP SCREW, M5 X 12 KUN-80",3.00,
2161,570426/H,GASKET,33.00,
2162,570431/B,HEX. FLANGE BOLT M5 X 0.8 X 16,3.00,
2163,570432/C,"RING, FILTER CAP",18.00,
2164,570433/B,CLUTCH DRUM / SPROCKET,1239.00,
2165,570434/D,HUB CLUTCH,711.00,
2166,570435/B,WHEEL CLUTCH MACHINED,284.00,
2167,570436/C,CLUTCH FRICTION PLATE,129.00,
2168,570437/C,CLUTCH PLAIN PLATE,55.00,
2169,570438/B,SPRING CLUTCH,11.00,
2170,570439/B,HOLDER,162.00,
2171,570440,"HEX SCREW M6X1 X 35, IS:1364 (PART 2) -",29.00,
2172,570441,NEEDLE ROLLER BEARING,217.00,
2173,570442,"BALL BEARING 6001, C3",116.00,
2174,570443/C,6 PL CLU ASSY CI+AL INSERT,3600.00,
2175,570444/E,"BOLT, BREATHER",39.00,
2176,570446/K,CLUTCH PUSH PAD,125.00,
2177,570447/B,BEARING CUP,145.00,
2178,570451/B, THRUST WASHER,15.00,
2179,570452/E,"SPRING, CLUTCH OP LEVER",8.00,
2180,570453/B, INNER RING,1239.00,
2181,570463/A,"HEX. SOC. HD. CAP SCREW, M6X60, IS:2269-",21.00,
2182,570465/C,PLAIN WASHER,22.00,
2183,570467/C,OIL FILLER CAP,81.00,
2184,570468/B,"CAP, PIVOT PIN",39.00,
2185,570469/A,DEEP GROOVE BALL BEARING 6007-RS1/C3,290.00,
2186,570472,Sub Assembly Manifold Inlet Kit,9577.00,
2187,570478/B,DAMPER PAD LH -CYLINDER HEAD,52.00,
2188,570479/B,DAMPER PAD RH -CYLINDER HEAD,49.00,
2189,570480/B,DAMPER PAD STRAIGHT - CYLINDER BARREL,29.00,
2190,570481,HEX  FLANGE BOLT JIS B 1189 CLASS 2  M5X,7.00,
2191,570482/B,DAMPER PAD TAPER -CYLINDER BARREL,27.00,
2192,570532/N,ROCKER BEARING SET -INTAKE,887.00,
2193,570533/N,ROCKER BEARING EXHAUST,887.00,
2194,570535/G,ROCKER ARM EXAUST,526.00,
2195,570536/G,ROCKER ARM INLET,526.00,
2196,570537/D,PUSHROD ASSY. EXAUST,263.00,
2197,570538/D,PUSHROD ASSY. INLET -  UCE,263.00,
2198,570541/A,FLY WEIGHT,249.00,
2199,570543/C,PIN ASSY FOR DIA 4.00MM,58.00,
2200,570547/C,PAD ASSY REAR CHAIN,180.00,
2201,570548/D,SPRAG CLUTCH GEAR,870.00,
2202,570551/D,ENGINE SPROCKET,1318.00,
2203,570570/C,DOUBLE GEAR,615.00,
2204,570596/B,LAY SHAFT 2ND GEAR,587.00,
2205,570600/A,GEAR CHANGER ASSEMBLY,326.00,
2206,570604/A,CIRCLIP - OIL LEVEL WINDOW,6.00,
2207,570607/A,TCI UNIT DUAL SPARK,1386.00,
2208,570615,CAM PLATE WITH ROLLER ASSY,740.00,
2209,570643/A,SPRING SHIFT CAM PLATE STOPPER,364.00,
2210,570644/C,STRIKER GEAR CHANGE,34.00,
2211,570658/B,STOPPER ASSY SHIFT CAM PLATE,71.00,
2212,570662/C,PAWL BOLT -SHIFT CAM PLATE,68.00,
2213,570663/C,SPRING SHIFT CAM PLATE STOPPER,9.00,
2214,570664/A,521208 SHIFT CAM PLATE STOPPER,8.00,
2215,570665/B,PLATE ANTI SKIP,55.00,
2216,570666/A,Copper washer M6 anti skip bolt,14.00,
2217,570702/A,HEX NUT M 6 X 1 ( U NUT ),7.00,
2218,570706/C,CAMPLATE ASSEMBLY,755.00,
2219,570713,HEX SOCKET HEAD SCREW M8X1.25X12,8.00,
2220,570715/A,COPER WASHER - M8,10.00,
2221,570716/C,NUT - M8 - CYLINDER HEAD,52.00,
2222,570718/A,HEX SOCKET HD CAP SCREW M5 X 30,7.00,
2223,570720/A,TBTS STATOR & PULSAR COIL ASSY,1392.00,
2224,570723/A,DUMMY PLUG - AVDEL,52.00,
2225,570732/A,FLOAT BODY ASSEMBLY CV CARBURETOR,464.00,
2226,570765/A,STARTER MOTOR COVER BLACK,54.00,
2227,570766/A,STARTER MOTOR - 0.7KW BLACK,"2,775.00",
2228,570804,KICK STARTER  SHAFT  ASSEMBLY,2248.00,
2229,570805/B,KICKS START SHAFT SUB ASSY,892.00,
2230,570806/A,KICK START CRANK ASSY,1134.00,
2231,570807/D,KICK START CRANK ASSY CLASSIC 350 500CC,648.00,
2232,570808/D,LEVER KICK STARTER CRANK,566.00,
2233,570809/A,FD SPROCKET 16T,440.00,
2234,570812/A,COVER STARTER MOTOR,140.00,
2235,570813/A,MUSHROOM HEAD SCREW M4 X 0.7 X 10-6G SS,6.00,
2236,570817/B,TAPPET DOOR CLASSIC 350,145.00,
2237,570821/A,MAIN SHAFT 3RD GEAR ASSY WITH BUSH,659.00,
2238,570823/A,MAIN SHAFT 4TH GEAR ASSY WITH BUSH,674.00,
2239,570826/B,TOOL SPARK PLUG,48.00,SPECIAL TOOLS
2240,570828/B,TOOL KIT  ELECTRA UCE,207.00,SPECIAL TOOLS
2241,570831/A,DIAPHRAGM COVER ASSY,488.00,
2242,570832/A,PISTON VALVE ASSY,697.00,
2243,570833/A,SPRING,52.00,
2244,570834/A,JET NEEDLE (4DHL42-2) BS29 CV CARB,305.00,
2245,570835/A,NEEDLE JET (P2-M) CV CARB BS29,196.00,
2246,570836/B,NEEDLE ASSEMBLY,294.00,
2247,570837/A,MAIN JET,32.00,
2248,570838/A,JET HOLDER,102.00,
2249,570839/A,PILOT AIR JET - ID 1.2 THREAD TYPE BS29,19.00,
2250,570840/A,PILOT JET,102.00,
2251,570841/A,PLUNGER ASSEMBLY,189.00,
2252,570842/A,HOSE DRAIN,51.00,
2253,570844/A,ADJUSTER C PILOT SCREW,41.00,
2254,570845/A,O RING-DRAIN SCREW,21.00,
2255,570846/A,O RING-PILOT SCREW HEAD CV CARB,9.00,
2256,570853/A,SPACER-JACK SHAFT,49.00,
2257,570862/B,FLYWHEEL MAGNETO ASS,2642.00,
2258,570863/B,STATOR AND PULSAR COIL ASSY 3PHASE,"1,575.00",
2259,570864/A,E5 FLYWHEEL MAGNETO ASSY,2175.00,
2260,570866/B,FLYWHEEL MAGNETO ASSY - 350 MODELS,2537.00,
2261,570867/B,CL350 STATOR & PULSAR COIL ASSY- 3PHASE,1475.00,
2262,570869/B,STD STATOR & PULSAR COIL ASSY- 3PHASE,1559.00,
2263,570872/A,"OIL FILLER CAP,COVER RH",34.00,
2264,570873/A,AIR VENT HOSE CV CARB,29.00,
2265,570874/A,"CLIP,AIR VENT (CV CARB).",12.00,
2266,570878,CAP OIL FILTER-SUB ASSY- CL350 & CL500,197.00,
2267,570886/B,VB51- ADAPTOR CARBURETTOR TO CYL HEAD,355.00,
2268,570888/A,DIGITAL TCI UNIT-MULTI CURVE VB51,1117.00,
2269,570889/B,VB51- CARBURETTOR UCD33,5140.00,
2270,570892/B,FLANGED HEXAGONAL BOLT M6X1X16,4.00,
2271,570896/A,VB 51- THROTTLE CABLE ASSEMBLY,240.00,
2272,570898/A,NU305 ECP CYLINDRICAL ROLLER BEARING,418.00,
2273,570900/A,DIAPHRAGM COVER TOP,77.00,
2274,570901/A,PISTON VALVE ASSLY UCD33,500.00,
2275,570902/A,SPRING (CO) DIAPHRAGM,65.00,
2276,570903/A,DIAPHRAGM -UCD33,515.00,
2277,570904/A,HOLDER NEEDLE- UCD33,14.00,
2278,570905/A,SPRING (JN) NEEDLE,18.00,
2279,570906/A,JET NEEDLE ? E RING ?UCD33,21.00,
2280,570907/A,RING (SHIM),29.00,
2281,570908/A,WASHER (PV) NEEDLE,18.00,
2282,570909/A,RING (PV) PISTON VALVE,15.00,
2283,570910/A,JET NEEDLE - CV CARB.UCD33,352.00,
2284,570911/A,NEEDLE JET P-2M - UCD33,203.00,
2285,570912/A,NEEDLE ASSY FLOAT - UCD33,278.00,
2286,570913/A,?O? RING FLOAT CHAMBER-UCD 33,130.00,
2287,570914/A,PIN (FLOAT),18.00,
2288,570915/A,FLOAT ASSEMBLY,500.00,
2289,570916/A,MAIN JET  ? UCD33,30.00,
2290,570917/A,JET HOLDER (MJ),105.00,
2291,570918/A,SCREW BOWL MTG-USD33,97.00,
2292,570919/A,"SCREW, DIAPHRAGM UCD33",117.00,
2293,570920/A,BRACKET (TH CABLE),115.00,
2294,570921/A,THROTTLE POSITION SENSOR (TPS),1250.00,
2295,570922/A,"O-RING, TPS - UCD33",24.00,
2296,570923/A,"SCREW, BRACKET TH",41.00,
2297,570924/A,"SCREW, TPS MTG - UCD33",21.00,
2298,570925/A,"CLIP, AIR VENT HOSE-UCD33",12.00,
2299,570926/A,"HOSE, AIR VENT - UCD33",74.00,
2300,570927/A,"HOSE, DRAIN ? UCD33",75.00,
2301,570928/A,IDLE ADJ SCREW UCD33,88.00,
2302,570929/A,"SPRING, IDLE ADJ UCD 33",34.00,
2303,570930/A,ADJ PILOT (MIXTURE) SCREW UCD33,104.00,
2304,570931/A,PLUNGER ASSEMBLY CHOKE,205.00,
2305,570932/A,PILOT JET - 15,110.00,
2306,570933/A,"SCREW, DRAIN -UCD33",55.00,
